source,target,source_genesymbol,target_genesymbol,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,n_sources,n_primary_sources,n_references,references_stripped
COMPLEX:P62979_Q8N2K1,Q9C0B0,RPS27A_UBE2J2,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62987_Q8WVN8,Q9C0B0,UBA52_UBE2Q2,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:O14933_P63279,Q9C0B0,UBE2I_UBE2L6,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P0CG47_P61086,Q9C0B0,UBB_UBE2K,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P60604_P62987,Q9C0B0,UBA52_UBE2G2,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62979_Q5JXB2,Q9C0B0,RPS27A_UBE2NL,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P63279_Q9Y385,Q9C0B0,UBE2I_UBE2J1,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62979_Q8WVN8,Q9C0B0,RPS27A_UBE2Q2,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62979_Q96B02,Q9C0B0,RPS27A_UBE2W,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P51965_P62979,Q9C0B0,RPS27A_UBE2E1,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P0CG47_Q7Z7E8,Q9C0B0,UBB_UBE2Q1,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P0CG47_Q16763,Q9C0B0,UBB_UBE2S,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62979_Q712K3,Q9C0B0,RPS27A_UBE2R2,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P51668_P63279,Q9C0B0,UBE2D1_UBE2I,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62253_P62987,Q9C0B0,UBA52_UBE2G1,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62256_P62979,Q9C0B0,RPS27A_UBE2H,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62979_P63146,Q9C0B0,RPS27A_UBE2B,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:O14933_P0CG47,Q9C0B0,UBB_UBE2L6,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P63279_Q15819,Q9C0B0,UBE2I_UBE2V2,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P0CG47_P61077,Q9C0B0,UBB_UBE2D3,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P0CG47_Q13404,Q9C0B0,UBB_UBE2V1,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62987_Q96B02,Q9C0B0,UBA52_UBE2W,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P0CG47_P63146,Q9C0B0,UBB_UBE2B,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
